donor,media,sample,pre_mass,wet_mass,wet_biomass,wet_g_l
19,BB,19.2.1,1.0376,1.04446,0.00686,6.86
19,BB,19.2.2,1.04419,1.05157,0.00738,7.38
19,BHI,19.3.1,1.0369,1.05092,0.01402,14.02
19,BHI,19.3.2,1.03581,1.05019,0.01438,14.38
19,liver,19.4.1,1.03751,1.04966,0.01215,12.15
19,liver,19.4.2,1.03328,1.04559,0.01231,12.31
19,GAM,19.5.1,1.03546,1.05144,0.01598,15.98
19,GAM,19.5.2,1.0376,1.05419,0.01659,16.59
19,GMM,19.6.1,1.03636,1.04677,0.01041,10.41
19,GMM,19.6.2,1.03859,1.0489,0.01031,10.31
19,RCM,19.7.1,1.03553,1.09183,0.0563,56.3
19,RCM,19.7.2,1.03782,1.08316,0.04534,45.34
19,MRS,19.8.1,1.03758,1.05016,0.01258,12.58
19,MRS,19.8.2,1.03752,1.05503,0.01751,17.51
19,TB,19.9.1,1.03417,1.05897,0.0248,24.8
19,TB,19.9.2,1.03575,1.05178,0.01603,16.03
19,BG,19.10.1,1.03767,1.04766,0.00999,9.99
19,BG,19.10.2,1.03313,1.04338,0.01025,10.25
20,LB,20.1.1,1.03681,1.0577,0.02089,20.89
20,LB,20.1.2,1.03593,1.04753,0.0116,11.6
20,BB,20.2.1,1.03773,1.04474,0.00701,7.01
20,BB,20.2.2,1.03637,1.04245,0.00608,6.08
20,BHI,20.3.1,1.03589,1.05153,0.01564,15.64
20,BHI,20.3.2,1.03773,1.05607,0.01834,18.34
20,liver,20.4.1,1.04204,1.05751,0.01547,15.47
20,liver,20.4.2,1.03423,1.04921,0.01498,14.98
20,GAM,20.5.1,1.03743,1.05793,0.0205,20.5
20,GAM,20.5.2,1.0382,1.05698,0.01878,18.78
20,GMM,20.6.1,1.03865,1.05096,0.01231,12.31
20,GMM,20.6.2,1.03808,1.05047,0.01239,12.39
20,RCM,20.7.1,1.03782,1.07321,0.03539,35.39
20,RCM,20.7.2,1.03447,1.06751,0.03304,33.04
20,MRS,20.8.1,1.04325,1.0571,0.01385,13.85
20,MRS,20.8.2,1.03555,1.04533,0.00978,9.78
20,TB,20.9.1,1.03745,1.0568,0.01935,19.35
20,TB,20.9.2,1.03407,1.05462,0.02055,20.55
20,BG,20.10.1,1.03899,1.05052,0.01153,11.53
20,BG,20.10.2,1.03681,1.05061,0.0138,13.8
